0,-0.003687
1,-0.015041
2,-0.014767
3,-0.001444
4,0.015022
5,0.020520
6,0.008615
7,-0.012646
8,-0.025739
9,-0.017772
10,0.007374
11,0.029865
12,0.028983
13,0.001457
14,-0.032510
15,-0.042940
16,-0.015093
17,0.033852
18,0.062663
19,0.037075
20,-0.036754
21,-0.102908
22,-0.082709
23,0.075599
24,0.357053
25,0.679524
26,0.936957
27,1.060277
28,1.055926
29,0.995574
30,0.963249
31,0.995574
32,1.055926
33,1.060277
34,0.936957
35,0.679524
36,0.357053
37,0.075599
38,-0.082709
39,-0.102908
40,-0.036754
41,0.037075
42,0.062663
43,0.033852
44,-0.015093
45,-0.042940
46,-0.032510
47,0.001457
48,0.028983
49,0.029865
50,0.007374
51,-0.017772
52,-0.025739
53,-0.012646
54,0.008615
55,0.020520
56,0.015022
57,-0.001444
58,-0.014767
59,-0.015041
60,-0.003687
61,0.009079
62,0.013262
63,0.006772
64,-0.004009
65,-0.010284
66,-0.007934
67,0.000006
68,0.006733
69,0.007439
70,0.002624
71,-0.003214
72,-0.005688
73,-0.003752
74,0.000267
75,0.003180
76,0.003434
77,0.001682
78,-0.000467
79,-0.001901
80,-0.002363
81,-0.001901
82,-0.000468
83,0.001682
84,0.003434
85,0.003180
86,0.000268
87,-0.003752
88,-0.005688
89,-0.003214
90,0.002624
91,0.007439
92,0.006733
93,0.000006
94,-0.007934
95,-0.010284
96,-0.004009
97,0.006772
98,0.013262
99,0.009079
